t,solve_time,solver_success,solver_status,number_of_config_obstacles,number_of_active_obstacles,number_of_active_edges
10.964326000015717,0.007403900002827868,1,MIQP_OPTIMAL,2,0,0
11.030993699998362,0.007968799996888265,1,MIQP_OPTIMAL,2,0,0
11.131028900010278,0.005742000008467585,1,MIQP_OPTIMAL,2,0,0
11.1976488000073,0.007093499996699393,1,MIQP_OPTIMAL,2,0,0
11.264334600011352,0.006211800005985424,1,MIQP_OPTIMAL,2,0,0
11.330989400012186,0.006334900012006983,1,MIQP_OPTIMAL,2,0,0
11.397638900001766,0.006533999985549599,1,MIQP_OPTIMAL,2,0,0
11.464383600017754,0.006245800002943724,1,MIQP_OPTIMAL,2,0,0
11.530992200016044,0.006736999988788739,1,MIQP_OPTIMAL,2,0,0
11.631054800003767,0.007251700008055195,1,MIQP_OPTIMAL,2,0,0
11.697664500010433,0.009407400008058175,1,MIQP_OPTIMAL,2,0,0
11.797709800011944,0.006749399995896965,1,MIQP_OPTIMAL,2,0,0
11.864315200014971,0.0067251999862492085,1,MIQP_OPTIMAL,2,0,0
11.93099500000244,0.006169100000988692,1,MIQP_OPTIMAL,2,0,0
11.997676700004376,0.0061545999778900295,1,MIQP_OPTIMAL,2,0,0
12.064330299996072,0.007597999996505678,1,MIQP_OPTIMAL,2,0,0
12.13097190001281,0.007257200020831078,1,MIQP_OPTIMAL,2,0,0
12.197680900018895,0.007070100022247061,1,MIQP_OPTIMAL,2,0,0
12.264335200015921,0.008591199992224574,1,MIQP_OPTIMAL,2,0,0
12.330966400011675,0.006191299995407462,1,MIQP_OPTIMAL,2,0,0
12.397667300014291,0.006550899997819215,1,MIQP_OPTIMAL,2,0,0
12.464340700011235,0.006145599996671081,1,MIQP_OPTIMAL,2,0,0
12.531001399998786,0.006204500008607283,1,MIQP_OPTIMAL,2,0,0
12.59765700000571,0.006254600011743605,1,MIQP_OPTIMAL,2,0,0
12.664349099999527,0.006072099989978597,1,MIQP_OPTIMAL,2,0,0
12.730972100020153,0.006410300004063174,1,MIQP_OPTIMAL,2,0,0
12.797672300017439,0.0068694000074174255,1,MIQP_OPTIMAL,2,0,0
12.864328399999067,0.006465900019975379,1,MIQP_OPTIMAL,2,0,0
12.930986299994402,0.005968399986159056,1,MIQP_OPTIMAL,2,0,0
12.997676400002092,0.006469599989941344,1,MIQP_OPTIMAL,2,0,0
13.064339900010964,0.00699320001876913,1,MIQP_OPTIMAL,2,0,0
13.164358600013657,0.006466599996201694,1,MIQP_OPTIMAL,2,0,0
13.230965800001286,0.007060900010401383,1,MIQP_OPTIMAL,2,0,0
13.297643500001868,0.006478099996456876,1,MIQP_OPTIMAL,2,0,0
13.364330500015058,0.005968900019070134,1,MIQP_OPTIMAL,2,0,0
13.43105879999348,0.006359799997881055,1,MIQP_OPTIMAL,2,0,0
13.497635900013847,0.006985899992287159,1,MIQP_OPTIMAL,2,0,0
13.564345199993113,0.006292800011578947,1,MIQP_OPTIMAL,2,0,0
13.631007200019667,0.0062907999963499606,1,MIQP_OPTIMAL,2,0,0
13.697691400011536,0.007382199983112514,1,MIQP_OPTIMAL,2,0,0
13.764356400002725,0.006226800003787503,1,MIQP_OPTIMAL,2,0,0
13.831009300018195,0.005671399994753301,1,MIQP_OPTIMAL,2,0,0
13.898292500001844,0.007137100008549169,1,MIQP_OPTIMAL,2,0,0
13.964957799995318,0.006994900002609938,1,MIQP_OPTIMAL,2,0,0
14.031506300001638,0.0062166999850887805,1,MIQP_OPTIMAL,2,0,0
14.098170400015078,0.007913999987067655,1,MIQP_OPTIMAL,2,0,0
14.19822250001016,0.006402099999831989,1,MIQP_OPTIMAL,2,0,0
14.265108199993847,0.006672299990896136,1,MIQP_OPTIMAL,2,0,0
14.331492700002855,0.006921299995156005,1,MIQP_OPTIMAL,2,0,0
14.398180200019851,0.00630130001809448,1,MIQP_OPTIMAL,2,0,0
14.465052800020203,0.008158800017554313,1,MIQP_OPTIMAL,2,0,0
14.531539200019324,0.0060508000024128705,1,MIQP_OPTIMAL,2,0,0
14.598172400001204,0.00852230002055876,1,MIQP_OPTIMAL,2,1,4
14.664982400019653,0.006475100002717227,1,MIQP_OPTIMAL,2,1,4
14.731491700018523,0.006057199992937967,1,MIQP_OPTIMAL,2,1,4
14.798171100002946,0.006647799978964031,1,MIQP_OPTIMAL,2,1,4
14.8650067000126,0.006147900014184415,1,MIQP_OPTIMAL,2,1,4
14.931509899994126,0.00622869998915121,1,MIQP_OPTIMAL,2,1,4
14.998175800021272,0.008228399994550273,1,MIQP_OPTIMAL,2,1,4
15.065138800011482,0.013649500004248694,1,MIQP_OPTIMAL,2,1,4
15.164984400005778,0.008442600024864078,1,MIQP_OPTIMAL,2,1,4
15.231510800018441,0.008342699991771951,1,MIQP_OPTIMAL,2,1,4
15.298186800006079,0.009233499993570149,1,MIQP_OPTIMAL,2,1,4
15.398200099996757,0.009216599981300533,1,MIQP_OPTIMAL,2,1,4
15.465060200018343,0.01262029999634251,1,MIQP_OPTIMAL,2,1,4
15.56494300000486,0.012283000018214807,1,MIQP_OPTIMAL,2,1,4
15.664898000017274,0.011018499993951991,1,MIQP_OPTIMAL,2,1,4
15.765056600008393,0.0118335000006482,1,MIQP_OPTIMAL,2,1,4
15.864988600020297,0.01159360000747256,1,MIQP_OPTIMAL,2,1,4
15.965107500000158,0.012706999987130985,1,MIQP_OPTIMAL,2,1,4
16.06493130000308,0.019808300014119595,1,MIQP_OPTIMAL,2,1,4
16.164968500001123,0.022026599996024743,1,MIQP_OPTIMAL,2,1,4
16.26509250001982,0.02061229999526404,1,MIQP_OPTIMAL,2,1,4
16.365109900012612,0.020550399989588186,1,MIQP_OPTIMAL,2,1,4
16.465083200018853,0.0160473000141792,1,MIQP_OPTIMAL,2,1,4
16.56512370001292,0.01165440000477247,1,MIQP_OPTIMAL,2,1,4
16.66497199999867,0.011543599975993857,1,MIQP_OPTIMAL,2,1,4
16.76511780000874,0.010017699998570606,1,MIQP_OPTIMAL,2,1,4
16.831575899996096,0.010508600011235103,1,MIQP_OPTIMAL,2,1,4
16.93158279999625,0.027879899978870526,1,MIQP_OPTIMAL,2,1,4
17.031569100014167,0.0074724000005517155,1,MIQP_OPTIMAL,2,1,4
17.09828900001594,0.00741700001526624,1,MIQP_OPTIMAL,2,1,4
17.165145200007828,0.010035599989350885,1,MIQP_OPTIMAL,2,1,4
17.265067400003318,0.007322500023292378,1,MIQP_OPTIMAL,2,1,4
17.331611500005238,0.010784199985209852,1,MIQP_OPTIMAL,2,1,4
17.43160040001385,0.009534000011626631,1,MIQP_OPTIMAL,2,1,4
17.498248899995815,0.006696500000543892,1,MIQP_OPTIMAL,2,1,4
17.565128000016557,0.00924359998316504,1,MIQP_OPTIMAL,2,1,4
17.631604800000787,0.006125500018242747,1,MIQP_OPTIMAL,2,1,4
17.69824090000475,0.0069558999966830015,1,MIQP_OPTIMAL,2,1,4
17.765084100014064,0.006427100015571341,1,MIQP_OPTIMAL,2,1,4
17.831568399997195,0.007933500019134954,1,MIQP_OPTIMAL,2,1,4
17.931660400005057,0.009563400002662092,1,MIQP_OPTIMAL,2,1,4
18.03161960002035,0.009475099999690428,1,MIQP_OPTIMAL,2,1,4
18.13166050001746,0.010560399998212233,1,MIQP_OPTIMAL,2,1,4
18.23166210000636,0.012864399992395192,1,MIQP_OPTIMAL,2,1,4
18.33164079999551,0.006792000000132248,1,MIQP_OPTIMAL,2,1,4
18.398237999994308,0.009049299987964332,1,MIQP_OPTIMAL,2,1,4
18.465051400009543,0.010920700005954131,1,MIQP_OPTIMAL,2,1,4
18.565088500006823,0.01106010001967661,1,MIQP_OPTIMAL,2,1,4
18.665053800010355,0.011777500010794029,1,MIQP_OPTIMAL,2,1,4
18.76513200000045,0.012610200006747618,1,MIQP_OPTIMAL,2,1,4
18.865184199996293,0.010906500014243647,1,MIQP_OPTIMAL,2,1,4
18.96517280000262,0.013118499977281317,1,MIQP_OPTIMAL,2,1,4
19.065038800006732,0.013669900014065206,1,MIQP_OPTIMAL,2,1,4
19.165096100012306,0.013816799997584894,1,MIQP_OPTIMAL,2,1,4
19.265081200021086,0.011655000009341165,1,MIQP_OPTIMAL,2,1,4
19.36505950000719,0.011713799991412088,1,MIQP_OPTIMAL,2,1,4
