t,solve_time,solver_success,solver_status,number_of_config_obstacles,number_of_active_edges,number_of_binary_variables
31.459057799947914,0.061236899986397475,1,MIQP_OPTIMAL,18,72,2160
31.625661799975205,0.061021999979857355,1,MIQP_OPTIMAL,18,72,2160
31.79232069995487,0.054755099990870804,1,MIQP_OPTIMAL,18,72,2160
31.959062799985986,0.06233569997129962,1,MIQP_OPTIMAL,18,72,2160
32.125703700003214,0.057730200001969934,1,MIQP_OPTIMAL,18,72,2160
32.29232819995377,0.07251279999036342,1,MIQP_OPTIMAL,18,72,2160
32.492424399999436,0.06296149996342137,1,MIQP_OPTIMAL,18,72,2160
32.6923756999895,0.1608907000045292,1,MIQP_OPTIMAL,18,72,2160
32.95906429999741,0.11015249998308718,1,MIQP_OPTIMAL,18,72,2160
33.1924056999851,0.2517989999614656,1,MIQP_OPTIMAL,18,72,2160
33.55909559997963,0.23804500000551343,1,MIQP_OPTIMAL,18,72,2160
33.92568259994732,0.11999269999796525,1,MIQP_OPTIMAL,18,72,2160
34.15904349996708,0.05676479998510331,1,MIQP_OPTIMAL,18,72,2160
34.3257397999987,0.05975610000314191,1,MIQP_OPTIMAL,18,72,2160
34.49234759999672,0.05895870004314929,1,MIQP_OPTIMAL,18,72,2160
34.69236859999364,0.05557540000882,1,MIQP_OPTIMAL,18,72,2160
34.85904399998253,0.05760800000280142,1,MIQP_OPTIMAL,18,72,2160
35.02578599995468,0.06190109997987747,1,MIQP_OPTIMAL,18,72,2160
35.192358599975705,0.06259129999671131,1,MIQP_OPTIMAL,18,72,2160
35.39249549998203,0.05489199998555705,1,MIQP_OPTIMAL,18,72,2160
35.55910229997244,0.07082539994735271,1,MIQP_OPTIMAL,18,72,2160
35.75903229997493,0.06099209998501465,1,MIQP_OPTIMAL,18,72,2160
35.92600289999973,0.05586239998228848,1,MIQP_OPTIMAL,18,72,2160
36.092475199955516,0.1903667000005953,1,MIQP_OPTIMAL,18,72,2160
36.392383999947924,0.1793842000188306,1,MIQP_OPTIMAL,18,72,2160
36.69236230000388,0.11927700001979247,1,MIQP_OPTIMAL,18,72,2160
36.92594950000057,0.12073049996979535,1,MIQP_OPTIMAL,18,72,2160
37.1924233000027,0.11569040000904351,1,MIQP_OPTIMAL,18,72,2160
37.42575259995647,0.1600363000179641,1,MIQP_OPTIMAL,18,72,2160
37.69241149997106,0.05384409998077899,1,MIQP_OPTIMAL,18,72,2160
37.8924947999767,0.04864129994530231,1,MIQP_OPTIMAL,18,72,2160
38.05921589996433,0.05638959998032078,1,MIQP_OPTIMAL,18,72,2160
38.25914399995236,0.050398799998220056,1,MIQP_OPTIMAL,18,72,2160
38.425998399965465,0.049031400005333126,1,MIQP_OPTIMAL,18,72,2160
38.5925067999633,0.13231790001736954,1,MIQP_OPTIMAL,18,72,2160
38.82585459999973,0.14962939999531955,1,MIQP_OPTIMAL,18,72,2160
39.09258449997287,0.31019489996833727,1,MIQP_OPTIMAL,18,72,2160
39.526025699975435,0.2520234000403434,1,MIQP_OPTIMAL,18,72,2160
39.89238589996239,0.18669950001640245,1,MIQP_OPTIMAL,18,72,2160
40.19249879999552,0.05393759999424219,1,MIQP_OPTIMAL,18,72,2160
40.35903349996079,0.06729919998906553,1,MIQP_OPTIMAL,18,72,2160
40.55914989998564,0.05539309995947406,1,MIQP_OPTIMAL,18,72,2160
40.72580739995465,0.05317319999448955,1,MIQP_OPTIMAL,18,72,2160
40.89242299995385,0.05963789997622371,1,MIQP_OPTIMAL,18,72,2160
41.05906239995966,0.05431289999978617,1,MIQP_OPTIMAL,18,72,2160
41.22574809996877,0.05358280002838001,1,MIQP_OPTIMAL,18,72,2160
41.39246770000318,0.0626928000128828,1,MIQP_OPTIMAL,18,72,2160
41.55915190000087,0.05683320004027337,1,MIQP_OPTIMAL,18,72,2160
41.72604549996322,0.05545799998799339,1,MIQP_OPTIMAL,18,72,2160
41.89242309995461,0.06089730001986027,1,MIQP_OPTIMAL,18,72,2160
42.05917669995688,0.06448780000209808,1,MIQP_OPTIMAL,18,72,2160
42.22576359997038,0.059048399969469756,1,MIQP_OPTIMAL,18,72,2160
42.39240959996823,0.06615820003207773,1,MIQP_OPTIMAL,18,72,2160
42.59256349998759,0.058924100012518466,1,MIQP_OPTIMAL,18,72,2160
42.75910399999702,0.07103099999949336,1,MIQP_OPTIMAL,18,72,2160
42.95911029999843,0.06223770003998652,1,MIQP_OPTIMAL,18,72,2160
43.1257665999583,0.05941960000200197,1,MIQP_OPTIMAL,18,72,2160
43.32576649996918,0.057543500035535544,1,MIQP_OPTIMAL,18,72,2160
43.49241389997769,0.06338760000653565,1,MIQP_OPTIMAL,18,72,2160
43.69242340000346,0.05837089999113232,1,MIQP_OPTIMAL,18,72,2160
43.85912509995978,0.06903259997488931,1,MIQP_OPTIMAL,18,72,2160
44.05917049996788,0.059218799986410886,1,MIQP_OPTIMAL,18,72,2160
44.2257681999472,0.06040250003570691,1,MIQP_OPTIMAL,18,72,2160
44.39239399996586,0.05646280001383275,1,MIQP_OPTIMAL,18,72,2160
44.559215199959,0.055101700010709465,1,MIQP_OPTIMAL,18,72,2160
44.725799799954984,0.05271150002954528,1,MIQP_OPTIMAL,18,72,2160
44.89276979997521,0.053649600013159215,1,MIQP_OPTIMAL,18,72,2160
45.05909840000095,0.055685400031507015,1,MIQP_OPTIMAL,18,72,2160
45.22587399999611,0.05553220002911985,1,MIQP_OPTIMAL,18,72,2160
45.39243259996874,0.05600179999601096,1,MIQP_OPTIMAL,18,72,2160
45.55908909998834,0.05152880004607141,1,MIQP_OPTIMAL,18,72,2160
45.725753799953964,0.053000599960796535,1,MIQP_OPTIMAL,18,72,2160
45.89242309995461,0.06786599999759346,1,MIQP_OPTIMAL,18,72,2160
46.09254049998708,0.051101399993058294,1,MIQP_OPTIMAL,18,72,2160
46.259150099998806,0.055612900003325194,1,MIQP_OPTIMAL,18,72,2160
46.42589479999151,0.06484679999994114,1,MIQP_OPTIMAL,18,72,2160
46.62598839995917,0.05170059995725751,1,MIQP_OPTIMAL,18,72,2160
46.792488599952776,0.05122789996676147,1,MIQP_OPTIMAL,18,72,2160
46.95911619998515,0.05204440001398325,1,MIQP_OPTIMAL,18,72,2160
47.12580419995356,0.11057459999574348,1,MIQP_OPTIMAL,18,72,2160
47.359121999994386,0.11665229999925941,1,MIQP_OPTIMAL,18,72,2160
47.59253769996576,0.1529661999666132,1,MIQP_OPTIMAL,18,72,2160
47.859165799978655,0.17336430004797876,1,MIQP_OPTIMAL,18,72,2160
48.159152499982156,0.17342619999544695,1,MIQP_OPTIMAL,18,72,2160
48.45914179994725,0.24778740003239363,1,MIQP_OPTIMAL,18,72,2160
48.82576269999845,0.06159880000632256,1,MIQP_OPTIMAL,18,72,2160
49.02590959996451,0.05056289996718988,1,MIQP_OPTIMAL,18,72,2160
49.192470699956175,0.04894459998467937,1,MIQP_OPTIMAL,18,72,2160
49.35913779999828,0.05663090001326054,1,MIQP_OPTIMAL,18,72,2160
49.5257773999474,0.07148920005420223,1,MIQP_OPTIMAL,18,72,2160
49.725847899971996,0.053311900002881885,1,MIQP_OPTIMAL,18,72,2160
49.89243509998778,0.06100679998053238,1,MIQP_OPTIMAL,18,72,2160
50.092473199998494,0.05860470002517104,1,MIQP_OPTIMAL,18,72,2160
50.25907219998771,0.05489379999926314,1,MIQP_OPTIMAL,18,72,2160
50.425793099973816,0.05313449999084696,1,MIQP_OPTIMAL,18,72,2160
50.59241539996583,0.07825730001786724,1,MIQP_OPTIMAL,18,72,2160
50.79244839999592,0.14769559999695048,1,MIQP_OPTIMAL,18,72,2160
51.09246789995814,0.08307330001844093,1,MIQP_OPTIMAL,18,72,2160
51.292520999966655,0.08197180001297966,1,MIQP_OPTIMAL,18,72,2160
51.49248859996442,0.08782580000115559,1,MIQP_OPTIMAL,18,72,2160
51.75930409994908,0.0888586999499239,1,MIQP_OPTIMAL,18,72,2160
51.959158499957994,0.07203080004546791,1,MIQP_OPTIMAL,18,72,2160
52.15933729999233,0.05850300000747666,1,MIQP_OPTIMAL,18,72,2160
52.326134699978866,0.053634899959433824,1,MIQP_OPTIMAL,18,72,2160
52.52607409999473,0.050206499989144504,1,MIQP_OPTIMAL,18,72,2160
52.69272329995874,0.05457019997993484,1,MIQP_OPTIMAL,18,72,2160
52.85934769996675,0.07308960001682863,1,MIQP_OPTIMAL,18,72,2160
53.0593323999783,0.10820459999376908,1,MIQP_OPTIMAL,18,72,2160
53.29269849997945,0.0772121999762021,1,MIQP_OPTIMAL,18,72,2160
53.49299469997641,0.21244279999518767,1,MIQP_OPTIMAL,18,72,2160
53.82608440000331,0.12767770001664758,1,MIQP_OPTIMAL,18,72,2160
54.05947340000421,0.06450869998661801,1,MIQP_OPTIMAL,18,72,2160
54.25939959997777,0.07036100002005696,1,MIQP_OPTIMAL,18,72,2160
54.45957119995728,0.051307299989275634,1,MIQP_OPTIMAL,18,72,2160
54.62596819997998,0.060943499964196235,1,MIQP_OPTIMAL,18,72,2160
54.82602639996912,0.04767219995846972,1,MIQP_OPTIMAL,18,72,2160
54.99278079997748,0.052679400017950684,1,MIQP_OPTIMAL,18,72,2160
55.15929509996204,0.06451369996648282,1,MIQP_OPTIMAL,18,72,2160
55.35934099997394,0.048234299989417195,1,MIQP_OPTIMAL,18,72,2160
55.52604430000065,0.06703490001382306,1,MIQP_OPTIMAL,18,72,2160
55.726159399957396,0.047347200044896454,1,MIQP_OPTIMAL,18,72,2160
55.89268559997436,0.051836200000252575,1,MIQP_OPTIMAL,18,72,2160
56.05934899998829,0.06482189998496324,1,MIQP_OPTIMAL,18,72,2160
56.25943259999622,0.052830099943093956,1,MIQP_OPTIMAL,18,72,2160
56.459438499994576,0.05085999995935708,1,MIQP_OPTIMAL,18,72,2160
56.62603169999784,0.047262299980502576,1,MIQP_OPTIMAL,18,72,2160
56.79282129998319,0.056194999953731894,1,MIQP_OPTIMAL,18,72,2160
56.95955809997395,0.05694560002302751,1,MIQP_OPTIMAL,18,72,2160
57.192699799954426,0.0468692000140436,1,MIQP_OPTIMAL,18,72,2160
57.35932109999703,0.04824380000354722,1,MIQP_OPTIMAL,18,72,2160
57.52604709996376,0.045264000014867634,1,MIQP_OPTIMAL,18,72,2160
57.692727499990724,0.04554479999933392,1,MIQP_OPTIMAL,18,72,2160
57.8593943999731,0.053165099991019815,1,MIQP_OPTIMAL,18,72,2160
58.05938109999988,0.07277690002229065,1,MIQP_OPTIMAL,18,72,2160
58.25971779995598,0.04781819996424019,1,MIQP_OPTIMAL,18,72,2160
58.42601840000134,0.050529400003142655,1,MIQP_OPTIMAL,18,72,2160
58.59268899995368,0.04976419999729842,1,MIQP_OPTIMAL,18,72,2160
58.75947960000485,0.0498549000476487,1,MIQP_OPTIMAL,18,72,2160
58.92620319995331,0.0500830999808386,1,MIQP_OPTIMAL,18,72,2160
59.12602849997347,0.04617460002191365,1,MIQP_OPTIMAL,18,72,2160
59.29276059998665,0.062008699984289706,1,MIQP_OPTIMAL,18,72,2160
59.492792000004556,0.051078899996355176,1,MIQP_OPTIMAL,18,72,2160
