t,x,y,theta,v,phi,phi_dot
2.020000000000000018e+00,-3.485946676578237202e+00,-1.275440416534626475e+00,-3.834099053899698295e-01,3.389132986305889439e-01,-1.617621504413149563e-03,-3.712679008437435896e-05
2.040000000000000036e+00,-3.479662549736912247e+00,-1.277975413151729578e+00,-3.834525233038345582e-01,3.387032457937957930e-01,-1.618212377829330272e-03,-2.195427227907661830e-05
2.060000000000000053e+00,-3.473382443214701354e+00,-1.280509099139179430e+00,-3.834951262421198437e-01,3.384914299756703326e-01,-1.618499419472102692e-03,-6.743379566044537294e-06
2.080000000000000071e+00,-3.467106389485039131e+00,-1.283041460867042183e+00,-3.835377059655123433e-01,3.382778569198939822e-01,-1.618481847844890605e-03,8.507288291573075216e-06
2.100000000000000089e+00,-3.460834420892410446e+00,-1.285572484692720563e+00,-3.835802542295433937e-01,3.380625323631972212e-01,-1.618158853421995582e-03,2.379913400454923461e-05
2.120000000000000107e+00,-3.454566569652514296e+00,-1.288102156961029365e+00,-3.836227627841519161e-01,3.378454620353626980e-01,-1.617529598597084155e-03,3.913356295671604004e-05
2.140000000000000124e+00,-3.448302867852438780e+00,-1.290630464004265843e+00,-3.836652233732507633e-01,3.376266516592264511e-01,-1.616593217627778365e-03,5.451198340392850064e-05
2.160000000000000142e+00,-3.442043347450822299e+00,-1.293157392142282092e+00,-3.837076277342916231e-01,3.374061069506814059e-01,-1.615348816576175342e-03,6.993580667294891165e-05
2.180000000000000160e+00,-3.435788040278028532e+00,-1.295682927682558327e+00,-3.837499675978323088e-01,3.371838336186790963e-01,-1.613795473245508002e-03,8.540644736024550240e-05
2.200000000000000178e+00,-3.429536978036307637e+00,-1.298207056920272384e+00,-3.837922346871029400e-01,3.369598373652334389e-01,-1.611932237112693143e-03,1.009253235308042523e-04
2.220000000000000195e+00,-3.423290192299972556e+00,-1.300729766138373211e+00,-3.838344207175739542e-01,3.367341238854233421e-01,-1.609758129257032573e-03,1.164938569169406829e-04
2.240000000000000213e+00,-3.417047714515560219e+00,-1.303251041607653482e+00,-3.838765173965233424e-01,3.365066988673965920e-01,-1.607272142284822680e-03,1.321134731172099062e-04
2.260000000000000231e+00,-3.410809576002004739e+00,-1.305770869586820648e+00,-3.839185164226062152e-01,3.362775679923728500e-01,-1.604473240250103372e-03,1.477856017953948706e-04
2.280000000000000249e+00,-3.404575807950804389e+00,-1.308289236322568660e+00,-3.839604094854219829e-01,3.360467369346482047e-01,-1.601360358571290521e-03,1.635116768796994263e-04
2.300000000000000266e+00,-3.398346441426188136e+00,-1.310806128049652353e+00,-3.840021882650850871e-01,3.358142113615986135e-01,-1.597932403943967076e-03,1.792931367620883545e-04
2.320000000000000284e+00,-3.392121507365286170e+00,-1.313321530990954944e+00,-3.840438444317921807e-01,3.355799969336848432e-01,-1.594188254249534692e-03,1.951314244979246578e-04
2.339999999999999858e+00,-3.385901036578298662e+00,-1.315835431357565311e+00,-3.840853696453943589e-01,3.353440993044563001e-01,-1.590126758460028806e-03,2.110279880058344240e-04
2.359999999999999876e+00,-3.379685059748661846e+00,-1.318347815348846153e+00,-3.841267555549643387e-01,3.351065241205562484e-01,-1.585746736538776224e-03,2.269842802679594555e-04
2.379999999999999893e+00,-3.373473607433217669e+00,-1.320858669152508158e+00,-3.841679937983686899e-01,3.348672770217266947e-01,-1.581046979337188182e-03,2.430017595305209290e-04
2.399999999999999911e+00,-3.367266710062382984e+00,-1.323367978944680612e+00,-3.842090760018359030e-01,3.346263636408134401e-01,-1.576026248487408720e-03,2.590818895048444914e-04
2.419999999999999929e+00,-3.361064397940316528e+00,-1.325875730889984006e+00,-3.842499937795275100e-01,3.343837896037716861e-01,-1.570683276291031305e-03,2.752261395688153779e-04
2.439999999999999947e+00,-3.354866701245087235e+00,-1.328381911141603533e+00,-3.842907387331084834e-01,3.341395605296715865e-01,-1.565016765603760747e-03,2.914359849688221522e-04
2.459999999999999964e+00,-3.348673650028844317e+00,-1.330886505841357925e+00,-3.843313024513164144e-01,3.338936820307041309e-01,-1.559025389715984001e-03,3.077129070222674851e-04
2.479999999999999982e+00,-3.342485274217983360e+00,-1.333389501119773835e+00,-3.843716765095319121e-01,3.336461597121870848e-01,-1.552707792229342850e-03,3.240583933206336647e-04
2.500000000000000000e+00,-3.336301603613316846e+00,-1.335890883096157999e+00,-3.844118524693488359e-01,3.333969991725716508e-01,-1.546062586929214822e-03,3.404739379331843982e-04
2.520000000000000018e+00,-3.330122667890240251e+00,-1.338390637878668077e+00,-3.844518218781436958e-01,3.331462060034485750e-01,-1.539088357653106438e-03,3.569610416113217421e-04
2.540000000000000036e+00,-3.323948496598902125e+00,-1.340888751564384807e+00,-3.844915762686454408e-01,3.328937857895554187e-01,-1.531783658154978536e-03,3.735212119936620763e-04
2.560000000000000053e+00,-3.317779119164372847e+00,-1.343385210239384397e+00,-3.845311071585040819e-01,3.326397441087831641e-01,-1.524147011965411736e-03,3.901559638118545391e-04
2.580000000000000071e+00,-3.311614564886810275e+00,-1.345879999978811803e+00,-3.845704060498609245e-01,3.323840865321834870e-01,-1.516176912247720228e-03,4.068668190971827981e-04
2.600000000000000089e+00,-3.305454862941632044e+00,-1.348373106846949998e+00,-3.846094644289163034e-01,3.321268186239760833e-01,-1.507871821649868840e-03,4.236553073880124998e-04
2.620000000000000107e+00,-3.299300042379679443e+00,-1.350864516897293699e+00,-3.846482737654979278e-01,3.318679459415569410e-01,-1.499230172152233058e-03,4.405229659381070017e-04
2.640000000000000124e+00,-3.293150132127390606e+00,-1.353354216172622415e+00,-3.846868255126296710e-01,3.316074740355053896e-01,-1.490250364911235382e-03,4.574713399258586587e-04
2.660000000000000142e+00,-3.287005160986963936e+00,-1.355842190705070172e+00,-3.847251111060978612e-01,3.313454084495928154e-01,-1.480930770098717094e-03,4.745019826644897667e-04
2.680000000000000160e+00,-3.280865157636530860e+00,-1.358328426516197895e+00,-3.847631219640193501e-01,3.310817547207906553e-01,-1.471269726737154272e-03,4.916164558132358467e-04
2.700000000000000178e+00,-3.274730150630320136e+00,-1.360812909617068023e+00,-3.848008494864069706e-01,3.308165183792792230e-01,-1.461265542530620909e-03,5.088163295895937240e-04
2.720000000000000195e+00,-3.268600168398831496e+00,-1.363295626008313999e+00,-3.848382850547359402e-01,3.305497049484565353e-01,-1.450916493691458168e-03,5.261031829826497445e-04
2.740000000000000213e+00,-3.262475239248998182e+00,-1.365776561680211776e+00,-3.848754200315091523e-01,3.302813199449468051e-01,-1.440220824762744947e-03,5.434786039675219534e-04
2.760000000000000231e+00,-3.256355391364358365e+00,-1.368255702612754865e+00,-3.849122457598213032e-01,3.300113688786104338e-01,-1.429176748436389354e-03,5.609441897210047092e-04
2.780000000000000249e+00,-3.250240652805224784e+00,-1.370733034775723169e+00,-3.849487535629232404e-01,3.297398572525527816e-01,-1.417782445366952979e-03,5.785015468383959995e-04
2.800000000000000266e+00,-3.244131051508848618e+00,-1.373208544128757147e+00,-3.849849347437845348e-01,3.294667905631346594e-01,-1.406036063981073092e-03,5.961522915516108368e-04
2.820000000000000284e+00,-3.238026615289593124e+00,-1.375682216621428200e+00,-3.850207805846559972e-01,3.291921742999814882e-01,-1.393935720282570359e-03,6.138980499485756403e-04
2.839999999999999858e+00,-3.231927371839099283e+00,-1.378154038193313280e+00,-3.850562823466313622e-01,3.289160139459940124e-01,-1.381479497653099412e-03,6.317404581939751584e-04
2.859999999999999876e+00,-3.225833348726452776e+00,-1.380623994774063057e+00,-3.850914312692075292e-01,3.286383149773582923e-01,-1.368665446648401887e-03,6.496811627514010494e-04
2.879999999999999893e+00,-3.219744573398354959e+00,-1.383092072283477414e+00,-3.851262185698444140e-01,3.283590828635566949e-01,-1.355491584790109033e-03,6.677218206068972388e-04
2.899999999999999911e+00,-3.213661073179290728e+00,-1.385558256631576057e+00,-3.851606354435235247e-01,3.280783230673785522e-01,-1.341955896353021899e-03,6.858640994940244607e-04
2.919999999999999929e+00,-3.207582875271695944e+00,-1.388022533718670237e+00,-3.851946730623059256e-01,3.277960410449311524e-01,-1.328056332147909639e-03,7.041096781204180715e-04
2.939999999999999947e+00,-3.201510006756125737e+00,-1.390484889435435578e+00,-3.852283225748883155e-01,3.275122422456514526e-01,-1.313790809299751356e-03,7.224602463959148117e-04
2.959999999999999964e+00,-3.195442494591424154e+00,-1.392945309662983133e+00,-3.852615751061591598e-01,3.272269321123171260e-01,-1.299157211021388517e-03,7.409175056623005596e-04
2.979999999999999982e+00,-3.189380365614891577e+00,-1.395403780272932881e+00,-3.852944217567531582e-01,3.269401160810586071e-01,-1.284153386382596825e-03,7.594831689246928433e-04
3.000000000000000000e+00,-3.183323646542453922e+00,-1.397860287127483891e+00,-3.853268536026036029e-01,3.266517995813714714e-01,-1.268777150074442252e-03,7.781589610846548254e-04
3.020000000000000018e+00,-3.177272363968828284e+00,-1.400314816079487823e+00,-3.853588616944957357e-01,3.263619880361279257e-01,-1.253026282169088842e-03,7.969466191750117006e-04
3.040000000000000036e+00,-3.171226544367694800e+00,-1.402767352972520865e+00,-3.853904370576162752e-01,3.260706868615897425e-01,-1.236898527874708302e-03,8.158478925965079610e-04
3.060000000000000053e+00,-3.165186214091864070e+00,-1.405217883640954124e+00,-3.854215706911036654e-01,3.257779014674213047e-01,-1.220391597285825540e-03,8.348645433562556541e-04
3.080000000000000071e+00,-3.159151399373444136e+00,-1.407666393910027791e+00,-3.854522535675959927e-01,3.254836372567020408e-01,-1.203503165128756236e-03,8.539983463081007040e-04
3.100000000000000089e+00,-3.153122126324010122e+00,-1.410112869595922191e+00,-3.854824766327774599e-01,3.251878996259398580e-01,-1.186230870502230769e-03,8.732510893949057759e-04
3.120000000000000107e+00,-3.147098420934770768e+00,-1.412557296505829729e+00,-3.855122308049241941e-01,3.248906939650845205e-01,-1.168572316613234428e-03,8.926245738928064973e-04
3.140000000000000124e+00,-3.141080309076739852e+00,-1.414999660438026829e+00,-3.855415069744476675e-01,3.245920256575416385e-01,-1.150525070507817582e-03,9.121206146575065211e-04
